id_orden,fecha,id_cliente,id_producto,total,canal
5064,2026-04-08,110,2015,60000,app
5065,2026-04-08,101,2008,160000,web
5066,2026-04-08,118,2001,140000,app
5067,2026-04-08,108,2004,15000,app
5068,2026-04-08,121,2005,140000,app
5069,2026-04-08,117,2009,240000,app
5070,2026-04-08,116,2008,80000,app
5071,2026-04-08,113,2007,50000,web
5072,2026-04-08,109,2014,24000,app
5073,2026-04-08,101,2010,50000,app
5074,2026-04-08,105,2015,120000,app
5075,2026-04-08,111,2018,150000,app
5076,2026-04-08,111,2007,100000,web
