id_orden,fecha,id_cliente,total,canal
5031,2026-04-05,107,187103,app
5032,2026-04-05,102,161341,app
5033,2026-04-05,109,224546,app
5034,2026-04-05,101,75472,app
5035,2026-04-05,103,319396,app
5036,2026-04-05,101,71834,app
5037,2026-04-05,106,179457,app
5038,2026-04-05,110,283132,web
5039,2026-04-05,107,317298,web
5040,2026-04-05,105,38271,app
5041,2026-04-05,101,287587,web
5042,2026-04-05,106,241124,web
5043,2026-04-05,106,341712,app
5044,2026-04-05,102,172455,app
5045,2026-04-05,107,186013,app
