id_venta,fecha,id_cliente,id_producto,cantidad,precio_unitario,tienda
121,2026-04-09,121,2010,3,25000,Las Condes
122,2026-04-09,103,2014,3,12000,Providencia
123,2026-04-09,123,2004,1,15000,Concepción
124,2026-04-09,123,2010,1,25000,Santiago
125,2026-04-09,111,2002,2,280000,La Florida
126,2026-04-09,112,2014,1,12000,Maipú
127,2026-04-09,117,2014,3,12000,Temuco
128,2026-04-09,106,2006,1,100000,Maipú
129,2026-04-09,120,2013,3,45000,Temuco
130,2026-04-09,108,2016,1,45000,Temuco
131,2026-04-09,108,2015,2,60000,La Florida
132,2026-04-09,109,2001,2,140000,Concepción
133,2026-04-09,122,2018,1,75000,Maipú
134,2026-04-09,115,2012,2,20000,Temuco
135,2026-04-09,121,2014,2,12000,La Florida
136,2026-04-09,110,2007,2,50000,Ñuñoa
137,2026-04-09,104,2008,3,80000,Ñuñoa
138,2026-04-09,112,2010,1,25000,La Florida
139,2026-04-09,122,2013,1,45000,La Florida
140,2026-04-09,119,2002,3,280000,Temuco
141,2026-04-09,116,2010,3,25000,Las Condes
142,2026-04-09,112,2008,3,80000,Las Condes
143,2026-04-09,109,2005,3,70000,Providencia
144,2026-04-09,121,2002,2,280000,La Florida
