id_venta,fecha,id_cliente,id_producto,cantidad,precio_unitario,tienda
79,2026-04-07,109,2018,2,75000,Concepción
80,2026-04-07,114,2009,1,120000,Puente Alto
81,2026-04-07,103,2009,1,120000,Concepción
82,2026-04-07,125,2015,3,60000,Temuco
83,2026-04-07,122,2013,1,45000,Puente Alto
84,2026-04-07,116,2011,2,35000,Maipú
85,2026-04-07,107,2012,2,20000,La Florida
86,2026-04-07,109,2009,1,120000,Valparaíso
87,2026-04-07,117,2007,1,50000,Providencia
88,2026-04-07,124,2014,3,12000,Concepción
89,2026-04-07,125,2008,3,80000,Concepción
90,2026-04-07,123,2016,1,45000,Concepción
91,2026-04-07,103,2010,2,25000,Las Condes
92,2026-04-07,123,2008,3,80000,La Florida
93,2026-04-07,119,2012,3,20000,Concepción
94,2026-04-07,117,2012,3,20000,Ñuñoa
95,2026-04-07,118,2011,3,35000,Puente Alto
96,2026-04-07,115,2009,2,120000,La Florida
97,2026-04-07,108,2004,2,15000,Las Condes
98,2026-04-07,104,2018,1,75000,Maipú
