id_venta,fecha,id_cliente,id_producto,cantidad,precio_unitario,tienda
100,2026-04-08,118,2008,2,80000,Maipú
101,2026-04-08,105,2003,1,30000,Santiago
102,2026-04-08,110,2010,1,25000,Concepción
103,2026-04-08,115,2010,2,25000,Ñuñoa
104,2026-04-08,117,2018,2,75000,Concepción
105,2026-04-08,103,2002,3,280000,Ñuñoa
106,2026-04-08,111,2009,1,120000,Santiago
107,2026-04-08,108,2001,3,140000,La Florida
108,2026-04-08,102,2006,3,100000,Concepción
109,2026-04-08,121,2015,1,60000,La Florida
110,2026-04-08,119,2014,1,12000,Concepción
111,2026-04-08,116,2012,2,20000,Ñuñoa
112,2026-04-08,111,2004,2,15000,Maipú
113,2026-04-08,114,2016,3,45000,La Florida
114,2026-04-08,113,2018,2,75000,Santiago
115,2026-04-08,103,2011,2,35000,La Florida
116,2026-04-08,104,2013,1,45000,Valparaíso
117,2026-04-08,122,2018,2,75000,Concepción
118,2026-04-08,102,2007,2,50000,Valparaíso
119,2026-04-08,120,2016,1,45000,Concepción
120,2026-04-08,107,2009,1,120000,Valparaíso
99,2026-04-08,119,2007,1,50000,Ñuñoa
