id_venta,fecha,id_cliente,id_producto,cantidad,precio_unitario,tienda
10,2026-04-02,113,2009,1,120000,Valparaíso
104,2026-04-02,102,2007,1,49294,Puente Alto
105,2026-04-02,110,2005,1,71608,Concepcion
106,2026-04-02,102,2007,1,50260,La Serena
107,2026-04-02,106,2010,1,25511,Santiago
108,2026-04-02,104,2005,1,72487,Providencia
109,2026-04-02,107,2005,2,70949,Puente Alto
11,2026-04-02,122,2011,1,35000,Santiago
12,2026-04-02,102,2011,2,35000,Ñuñoa
13,2026-04-02,103,2007,3,50000,Temuco
14,2026-04-02,111,2007,2,50000,Concepción
15,2026-04-02,121,2015,2,60000,Maipú
16,2026-04-02,105,2008,3,80000,Valparaíso
17,2026-04-02,109,2014,2,12000,Temuco
18,2026-04-02,112,2008,3,80000,Maipú
9,2026-04-02,124,2008,2,80000,Maipú
