id_venta,fecha,id_cliente,id_producto,cantidad,precio_unitario,tienda
145,2026-04-10,125,2018,3,75000,Las Condes
146,2026-04-10,107,2008,1,80000,Puente Alto
147,2026-04-10,120,2001,1,140000,La Florida
148,2026-04-10,105,2018,1,75000,La Florida
149,2026-04-10,104,2001,1,140000,Maipú
150,2026-04-10,112,2008,2,80000,Temuco
151,2026-04-10,101,2006,1,100000,La Florida
152,2026-04-10,105,2014,1,12000,Valparaíso
153,2026-04-10,124,2003,2,30000,Concepción
154,2026-04-10,125,2012,3,20000,Valparaíso
155,2026-04-10,104,2015,1,60000,Valparaíso
156,2026-04-10,120,2002,2,280000,Valparaíso
157,2026-04-10,115,2001,2,140000,Santiago
158,2026-04-10,113,2014,2,12000,Providencia
159,2026-04-10,123,2015,1,60000,Providencia
160,2026-04-10,111,2005,1,70000,Providencia
161,2026-04-10,109,2018,2,75000,Puente Alto
162,2026-04-10,120,2017,2,130000,La Florida
163,2026-04-10,117,2014,3,12000,Providencia
164,2026-04-10,104,2018,2,75000,Las Condes
165,2026-04-10,115,2008,2,80000,Ñuñoa
166,2026-04-10,115,2013,3,45000,Ñuñoa
167,2026-04-10,104,2011,2,35000,Ñuñoa
168,2026-04-10,122,2009,1,120000,Puente Alto
169,2026-04-10,122,2016,1,45000,Providencia
170,2026-04-10,103,2003,1,30000,Ñuñoa
