id_venta,fecha,id_cliente,id_producto,cantidad,precio_unitario,tienda
1,2026-04-01,121,2004,3,15000,Santiago
101,2026-04-01,102,2001,3,136850,Las Condes
102,2026-04-01,103,2002,3,286738,Concepcion
103,2026-04-01,102,2010,2,23829,Providencia
2,2026-04-01,109,2008,1,80000,Las Condes
3,2026-04-01,124,2004,1,15000,Valparaíso
4,2026-04-01,119,2014,1,12000,Santiago
5,2026-04-01,103,2007,3,50000,Las Condes
6,2026-04-01,120,2001,1,140000,Valparaíso
7,2026-04-01,123,2018,1,75000,Ñuñoa
8,2026-04-01,115,2009,1,120000,Santiago
