id_venta,fecha,id_cliente,id_producto,cantidad,precio_unitario,tienda
110,2026-04-03,110,2007,3,49497,Las Condes
111,2026-04-03,103,2009,2,115090,Santiago
112,2026-04-03,102,2003,3,28979,Ñuñoa
113,2026-04-03,110,2002,2,276685,Temuco
114,2026-04-03,109,2005,3,72525,Santiago
115,2026-04-03,102,2009,2,123223,Puente Alto
116,2026-04-03,102,2005,2,67607,Santiago
117,2026-04-03,105,2009,1,120092,Providencia
118,2026-04-03,105,2009,3,116386,Puente Alto
19,2026-04-03,105,2016,1,45000,Valparaíso
20,2026-04-03,109,2017,2,130000,Temuco
21,2026-04-03,107,2018,3,75000,Las Condes
22,2026-04-03,110,2013,2,45000,Puente Alto
23,2026-04-03,117,2015,1,60000,Providencia
24,2026-04-03,108,2003,1,30000,Puente Alto
25,2026-04-03,119,2018,3,75000,Las Condes
26,2026-04-03,108,2001,3,140000,Providencia
27,2026-04-03,121,2002,1,280000,Las Condes
28,2026-04-03,102,2011,3,35000,Providencia
29,2026-04-03,108,2009,1,120000,Concepción
30,2026-04-03,118,2005,3,70000,Temuco
