id_venta,fecha,id_cliente,id_producto,cantidad,precio_unitario,tienda
119,2026-04-04,102,2009,1,117341,Temuco
120,2026-04-04,104,2009,1,122680,La Serena
121,2026-04-04,110,2008,1,82276,Ñuñoa
122,2026-04-04,104,2002,1,284451,Puente Alto
123,2026-04-04,107,2007,2,51819,Santiago
124,2026-04-04,102,2001,2,143194,Providencia
125,2026-04-04,104,2004,1,15054,Maipu
126,2026-04-04,107,2003,2,29887,Providencia
127,2026-04-04,108,2009,1,114607,Concepcion
128,2026-04-04,101,2002,1,270656,Temuco
129,2026-04-04,108,2004,2,15603,Maipu
130,2026-04-04,107,2001,2,136712,Temuco
31,2026-04-04,124,2011,1,35000,Santiago
32,2026-04-04,119,2016,3,45000,Valparaíso
33,2026-04-04,106,2002,1,280000,Valparaíso
34,2026-04-04,106,2003,1,30000,Temuco
35,2026-04-04,122,2008,1,80000,Ñuñoa
36,2026-04-04,119,2008,3,80000,Temuco
37,2026-04-04,102,2003,3,30000,Ñuñoa
38,2026-04-04,119,2017,2,130000,Puente Alto
39,2026-04-04,107,2011,2,35000,Las Condes
40,2026-04-04,113,2005,2,70000,La Florida
41,2026-04-04,111,2003,2,30000,Santiago
42,2026-04-04,120,2004,3,15000,Providencia
43,2026-04-04,107,2017,1,130000,La Florida
44,2026-04-04,112,2003,2,30000,Las Condes
